Label,Line_0_1,Line_1_2,Line_2_3,Line_3_4,Line_0_5,Line_5_6,Line_6_7,Line_7_8,Line_0_9,Line_9_10,Line_10_11,Line_11_12,Line_0_13,Line_13_14,Line_14_15,Line_15_16,Line_0_17,Line_17_18,Line_18_19,Line_19_20
B,131.72,150.15,170.18,174.29,159.15,164.7,167.5,169.64,171.56,173.44,174.61,175.41,176.47,177.77,178.52,179.0,162.69,167.17,169.7,171.4
B,134.13,151.21,171.25,173.78,159.94,165.93,169.19,171.47,172.04,174.74,176.36,177.19,176.57,176.99,177.3,177.57,163.14,166.89,169.22,170.79
A,116.94,130.86,141.17,152.21,155.32,160.01,153.21,152.17,168.79,170.42,162.92,164.02,176.4,177.04,177.52,177.54,159.64,164.5,166.24,164.77
B,127.6,146.89,165.84,179.29,159.25,164.14,166.66,168.46,171.34,172.71,173.57,174.03,177.4,179.16,179.91,179.56,164.49,169.17,171.51,173.09
B,132.93,150.35,169.75,175.72,158.84,163.84,166.63,168.64,170.4,172.24,173.49,174.16,178.45,179.66,179.9,179.47,165.73,169.83,172.06,173.46
B,138.06,155.71,174.68,171.53,162.11,168.08,171.3,173.53,174.23,177.08,178.64,179.37,174.26,174.15,174.65,175.26,160.73,164.25,166.66,168.35
B,122.72,145.11,165.86,178.56,157.32,161.79,164.12,165.97,169.19,170.11,170.76,171.16,179.69,178.51,177.41,176.6,167.2,171.78,174.24,175.93
A,115.22,123.76,135.48,146.56,152.35,160.27,153.79,147.62,166.95,170.66,165.21,160.64,177.67,177.07,179.86,176.38,161.23,165.36,164.91,164.94
A,115.08,129.37,141.44,153.03,155.88,161.87,154.43,151.41,169.25,172.54,164.62,163.83,176.08,174.59,179.74,178.33,158.45,162.14,162.57,163.1
A,120.24,132.83,143.11,153.41,157.25,161.07,154.53,153.82,170.24,171.18,164.11,165.93,175.03,176.7,178.21,179.3,158.51,163.99,166.25,164.45
B,131.11,151.11,171.16,172.47,160.26,166.26,169.48,171.75,173.61,175.77,177.11,177.96,173.38,175.0,176.1,176.8,158.73,163.99,167.02,169.1
B,132.67,149.96,168.4,177.98,158.68,164.58,167.85,170.2,170.78,173.47,174.94,175.8,177.36,178.09,178.54,178.83,163.16,167.32,169.71,171.33
B,129.65,149.42,169.26,175.35,159.46,164.67,167.28,169.25,171.78,173.24,174.26,174.87,176.65,178.18,178.9,179.5,163.57,167.81,170.25,172.02
A,112.73,127.8,137.88,149.2,152.54,160.45,153.99,149.71,165.6,170.8,164.49,161.79,179.74,177.58,178.56,175.5,163.21,165.26,165.46,166.66
B,132.55,149.82,169.19,176.32,159.42,165.42,168.57,170.71,171.48,173.98,175.52,176.31,177.11,177.87,178.11,178.33,163.39,167.74,170.03,171.62
B,131.72,152.31,172.39,172.06,163.55,167.89,170.15,171.83,175.0,176.2,176.89,177.09,174.02,175.42,176.2,177.0,161.81,165.77,168.04,169.73
A,103.8,122.74,136.45,145.81,149.11,154.15,148.25,145.43,162.03,164.42,158.27,157.23,176.56,176.58,173.6,173.43,165.41,171.21,171.07,169.1
A,109.12,122.38,134.6,146.81,147.43,156.97,150.39,144.83,160.84,167.96,162.08,157.3,175.56,179.33,177.67,171.51,167.66,167.48,166.28,168.93
B,130.02,151.19,170.49,174.58,161.95,167.13,169.59,171.39,174.35,176.01,176.86,177.33,174.06,175.24,176.01,176.6,161.0,165.08,167.65,169.48
A,100.1,122.08,137.16,146.88,146.74,155.38,150.57,145.32,159.77,166.53,161.43,155.23,173.64,178.65,177.78,172.22,170.51,169.45,166.72,168.74
B,127.4,145.15,163.33,176.6,155.18,161.57,164.88,167.1,167.22,170.22,171.9,172.63,178.47,178.08,177.98,177.73,167.95,172.13,174.22,175.67
B,128.5,148.48,168.56,176.33,156.06,162.44,165.53,167.61,168.53,171.16,172.53,173.02,179.65,179.65,179.27,178.64,166.34,170.24,172.61,174.46
A,120.32,132.87,142.14,151.76,156.93,159.09,152.2,152.91,169.98,168.62,160.74,164.42,174.93,179.42,175.1,179.0,158.27,166.89,169.69,165.23
